class_id,class_name,total_sessions,total_students,dominant_emotion,avg_intensity,avg_tiredness,absence_rate,trend,priority_level,recommended_activities,recommended_duration,last_session
d9f27ad3-bb26-453e-bf22-d33e150e16cb,Class 12X,198,28,EXCITED,0.998,3.9,0.003,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,15-25 minutes,2025-03-05T03:56:43.614000+00:00
6f848a37-e9ab-438a-86fc-23f809ca7ca5,Class 4T,168,33,HAPPY,0.572,3.54,0.072,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:39:48.804000+00:00
07e78b6a-c338-4ce2-8dcc-ef03ba502f13,Class 6W,162,36,HAPPY,0.388,3.58,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-05T03:29:30.366000+00:00
4fab079b-4208-46b8-b1c8-7d9ec8029743,Class 2H,160,36,HAPPY,0.474,3.77,0.003,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-06T03:59:30.568000+00:00
476f8ef0-5f55-4f4f-ba66-8bb42b5efd21,Class 2Q,159,36,HAPPY,0.75,4.35,0.016,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:15:51.243000+00:00
299a0245-942a-4197-874e-186e70b45ae5,Class 1E,158,30,HAPPY,0.676,4.03,0.02,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:29:31.194000+00:00
7845da9c-8726-4e3c-963f-f12b3877799f,Class 6K,156,38,HAPPY,0.677,4.19,0.097,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:59:30.973000+00:00
43abc9a0-6e39-45a2-bac3-cc8c33170c98,Class 4V,156,69,HAPPY,0.496,3.83,0.013,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:51:00.285000+00:00
31e0721e-8392-4f83-9f27-3513e017d847,Class 2V,154,34,HAPPY,0.55,3.47,0.05,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:42:40.933000+00:00
083bc44a-d735-46f9-bc0a-d9b4d93efcbe,Class 8L,153,34,HAPPY,0.64,3.76,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-07T03:29:31.424000+00:00
a5229eb0-f28d-4403-afcd-918b20391ae4,Class 4U,151,36,HAPPY,0.571,3.57,0.078,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-05T03:29:30.663000+00:00
9e594938-e11f-488e-a154-9ad5643c1f34,Class 4F,151,32,HAPPY,0.793,4.25,0.035,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:50:10.445000+00:00
727734a0-e1ef-46e3-b9c9-dd61eb7d99ef,Class 2L,150,33,HAPPY,1.0,4.53,0.126,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:52:06.580000+00:00
60b1c282-afc6-4316-b2fd-8f81af4b6e96,Class 3X,149,31,HAPPY,1.0,4.31,0.165,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:54:49.046000+00:00
a5e07409-c928-420f-bd4b-8bc467dfa542,Class 10G,148,34,HAPPY,1.0,4.63,0.048,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:46:37.154000+00:00
5afa6b23-96b2-47ae-b92b-3803358dea33,Class 1B,147,36,HAPPY,1.0,4.5,0.004,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:39:53.993000+00:00
f74856c3-b0f2-4864-98b3-b6efb95134a9,Class 7Z,147,35,HAPPY,1.0,4.36,0.017,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:52:08.886000+00:00
dddbed94-5b9e-4b07-81ee-f25e45b14f20,Class 12Q,147,30,HAPPY,0.569,3.62,0.014,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-26T03:29:30.077000+00:00
002f3205-3fc1-465e-8104-e0d90c7427b4,Class 10A,147,34,HAPPY,0.831,3.9,0.001,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-24T02:59:30.744000+00:00
3890f3e7-b7e7-459d-8644-995e46866063,Class 9M,146,33,HAPPY,0.81,4.45,0.01,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-19T04:52:48.942000+00:00
86ed166e-e272-402e-9c07-f6f9ad45f00b,Class 3F,146,33,HAPPY,0.552,3.58,0.002,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:59:51.205000+00:00
0fbe480c-ebf8-4dfd-9f1b-f8086fb09cb9,Class 12N,145,34,HAPPY,0.711,4.46,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:30.882000+00:00
b78fd2cd-503a-40d9-b6ed-63ac3d5770cd,Class 7H,145,32,EXCITED,0.998,4.54,0.083,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T03:29:31.050000+00:00
fe4f1117-f93a-4e10-bdcc-ee8d4bf6ba85,Class 1H,145,34,HAPPY,0.62,4.09,0.006,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-05T03:59:31.508000+00:00
f2e00949-20c9-49bf-a25a-e0c2d7497cf0,Class 9Z,145,28,HAPPY,0.712,4.42,0.042,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:35:14.181000+00:00
003285ef-1334-43c3-97ec-a32474d5382e,Class 9V,144,39,HAPPY,0.722,4.17,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:59:30.371000+00:00
fec59a4e-2036-4ad9-bc12-8f3431aec60e,Class 2T,144,33,EXCITED,1.0,4.65,0.003,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-06T03:44:05.892000+00:00
15662d0c-3fa5-4f36-b239-4a63f999411e,Class 5T,143,33,HAPPY,0.767,4.49,0.046,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:14:19.317000+00:00
31af0370-66a2-45f1-8f49-61b216947890,Class 2I,143,30,HAPPY,0.561,3.95,0.007,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T05:01:49.356000+00:00
2670737c-ed45-4c74-8db9-02d4cab20c42,Class 10M,142,31,HAPPY,1.0,4.47,0.087,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T04:02:20.915000+00:00
3f233b4d-f0ba-4a75-835b-c01dfe5053c1,Class 1N,142,35,HAPPY,0.83,4.36,0.006,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:48:51.541000+00:00
73b62499-9148-442e-b2a0-d13a56970c36,Class 9W,141,34,HAPPY,1.0,4.6,0.077,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:50:32.211000+00:00
590ac4bc-8dd9-4473-b635-3bb3b7918f77,Class 9L,141,39,HAPPY,0.493,3.46,0.007,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T03:29:30.082000+00:00
38615874-1c6a-469b-9028-166a98201561,Class 4N,141,33,HAPPY,0.456,3.52,0.033,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-24T03:59:29.792000+00:00
d2feacaf-6b98-465b-af91-b4e806261a35,Class 9V,140,33,HAPPY,0.795,4.49,0.052,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:49:14.981000+00:00
7ef8e858-cf04-454b-b1ca-2216a27c2c67,Class 1D,139,29,HAPPY,0.86,4.51,0.107,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:48:24.345000+00:00
6e36461c-532f-4953-a69b-949719c7533e,Class 5M,138,33,HAPPY,1.0,4.45,0.063,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:54:31.927000+00:00
45d3b747-dbb6-41b3-89de-68892ad5bc94,Class 2J,138,34,HAPPY,0.665,4.51,0.068,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:48:56.482000+00:00
8e1c4bee-c3d7-4c22-b4c3-6a448605beab,Class 11T,138,35,HAPPY,0.514,3.44,0.008,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T03:59:31.035000+00:00
fed58cd1-4664-4cae-b9a8-26d0d846f24c,Class 12N,138,36,HAPPY,0.622,4.24,0.062,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:29:29.486000+00:00
61988215-68b1-4c19-8e70-8ddbca8f5106,Class 12L,138,33,HAPPY,0.655,3.5,0.028,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-07T03:29:30.186000+00:00
b1f213e8-5430-423a-b4a6-b761981234df,Class 11Z,137,31,HAPPY,0.657,4.27,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:29.789000+00:00
ad451a96-2a18-4299-a13b-4d3af86f445d,Class 9T,137,31,HAPPY,0.901,4.63,0.001,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:39:55.961000+00:00
db031dc7-ee54-4b7a-888c-64d796f99e52,Class 9M,135,35,HAPPY,1.0,4.62,0.101,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:37:22.143000+00:00
