class_id,class_name,total_sessions,total_students,dominant_emotion,avg_intensity,avg_tiredness,absence_rate,trend,priority_level,recommended_activities,recommended_duration,last_session
0049a21e-bbfb-438f-92ab-1f847fb8ba62,Class 11T,116,43,HAPPY,0.998,4.375,0.004,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:30.152Z
006ebdb6-35ab-417a-81fa-e570143e81dc,Class 5Z,119,33,HAPPY,0.998,4.894,0.027,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:05:33.705Z
015ea2d7-3cb0-493c-853f-1a0aba1b5c9e,Class 3V,105,32,HAPPY,0.861,4.754,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:12:49.729Z
06dbdc20-88ee-489b-9876-79ff1483e8fe,Class 1H,118,31,HAPPY,0.655,4.289,0.0,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:01:43.887Z
083bc44a-d735-46f9-bc0a-d9b4d93efcbe,Class 8L,153,34,HAPPY,0.64,3.757,0.0,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:29:31.424Z
0c1b57c5-5aa1-4fc3-89cb-fd2a86711847,Class 3Y,132,34,HAPPY,0.735,4.616,0.061,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:30.484Z
0eef8c82-18e2-476a-95f0-d2f36632e528,Class 9W,107,35,HAPPY,1.0,4.588,0.003,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:03:24.756Z
0fbe480c-ebf8-4dfd-9f1b-f8086fb09cb9,Class 12N,145,34,HAPPY,0.711,4.462,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:30.882Z
104ac756-cd28-426b-b49b-a05f25d6edd9,Class 7Z,115,30,HAPPY,0.998,4.622,0.094,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:51:52.581Z
104d0a56-9b6d-41f6-8faa-b96a36f21952,Class 7J,133,34,HAPPY,0.562,4.072,0.07,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:30.225Z
1124587c-00fb-4489-8302-a7c3db4b7f2b,Class 8Q,97,30,HAPPY,0.997,4.713,0.028,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:10:02.084Z
14607736-aee5-40b2-a45a-54ddbd9c9f9b,Class 11A,126,33,HAPPY,0.652,4.205,0.039,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:29.786Z
15662d0c-3fa5-4f36-b239-4a63f999411e,Class 5T,143,33,HAPPY,0.767,4.488,0.046,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:14:19.317Z
16120bdf-8558-4a45-978e-e9a26dc90d06,Class 8L,87,28,HAPPY,1.0,4.22,0.249,stable,HIGH,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:43:54.360Z
166d6a19-31bb-48e3-9309-78859552c412,Class 9W,76,38,HAPPY,0.93,4.633,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:13:31.918Z
18598790-9570-4f0d-9678-0aeab20c6bce,Class 12W,107,32,HAPPY,0.87,4.811,0.081,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:29:42.957Z
1bea78bd-81fd-47c3-b3d9-02c60ee7e63d,Class 1E,121,32,HAPPY,0.838,4.402,0.001,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:44:36.163Z
1c44805b-ca90-4a15-a14c-05694389782f,Class 5P,119,32,HAPPY,0.857,4.674,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:08:01.096Z
24d9c33b-b0fb-4a0b-83fa-0ece8ccf352b,Class 8L,111,34,HAPPY,0.622,4.422,0.063,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:06:22.505Z
2816ccef-94a4-4d49-8892-e726a4eec97c,Class 9Z,126,31,HAPPY,0.999,4.681,0.093,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:30.388Z
299a0245-942a-4197-874e-186e70b45ae5,Class 1E,158,30,HAPPY,0.676,4.033,0.02,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:29:31.194Z
2b82403a-eda7-449d-a68a-bd9999bec02c,Class 6N,86,32,HAPPY,0.8,4.648,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:17:15.063Z
2c2c67aa-fe45-4cb2-bf9a-7aecfe31df37,Class 9P,108,32,HAPPY,0.785,4.533,0.03,improving,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:18:54.049Z
